"body","sellingprice"
"Sedan",9200
"Minivan",18000
"Hatchback",7800
"Sedan",14100
"Sedan",13500
"Sedan",22000
"Double Cab",20500
"Suv",24200
"Sedan",9500
"Sedan",19500
"Crewmax Cab",18500
"Suv",27000
"Crewmax Cab",20250
"Hatchback",14800
"Sedan",21000
"Sedan",10500
"Suv",26500
"Access Cab",18500
"Sedan",13000
"Suv",25900
"Suv",34000
"Hatchback",16200
"Wagon",17600
"Double Cab",23700
"Sedan",11700
"Hatchback",9900
"Sedan",12400
"Wagon",17100
"Hatchback",14600
"Wagon",17500
"Suv",28000
"Sedan",15500
"Double Cab",27000
"Minivan",16600
"Sedan",14900
"Sedan",15700
"Sedan",17750
"Hatchback",7300
"Sedan",11500
"Sedan",11500
"Double Cab",26750
"Hatchback",15800
"Double Cab",21000
"Minivan",20400
"Sedan",8200
"Sedan",11200
"Sedan",17000
"Sedan",15600
"Sedan",12900
"Sedan",12200
"Sedan",15200
"Sedan",8300
"Hatchback",16300
"Suv",21500
"Sedan",10100
"Suv",24000
"Crewmax Cab",19750
"Hatchback",14700
"Sedan",9700
"Sedan",8500
"Sedan",10500
"Sedan",17250
"Suv",26000
"Sedan",18200
"Minivan",16600
"Suv",8200
"Double Cab",21400
"Hatchback",22200
"Sedan",10900
"Hatchback",13800
"Sedan",11600
"Suv",12000
"Sedan",3600
"Minivan",19750
"Sedan",9250
"Sedan",15600
"Sedan",10300
"Hatchback",12400
"Sedan",9250
"Hatchback",13600
"Sedan",7800
"Suv",16100
"Sedan",9500
"Sedan",8800
"Wagon",15000
"Sedan",11000
"Sedan",8900
"Double Cab",23500
"Suv",16500
"Suv",17500
"Suv",23250
"Sedan",7500
"Sedan",11100
"Sedan",11000
"Suv",45250
"Sedan",10750
"Sedan",9250
"Hatchback",15500
"Double Cab",23000
"Sedan",12500
"Suv",13900
"Suv",24500
"Sedan",9000
"Sedan",10300
"Crewmax Cab",18000
"Sedan",11100
"Suv",11300
"Sedan",10500
"Suv",13400
"Hatchback",10400
"Sedan",10400
"Sedan",11000
"Sedan",9800
"Sedan",8000
"Wagon",4500
"Crewmax Cab",14600
"Suv",7800
"Sedan",7000
"Sedan",8200
"Sedan",4400
"Sedan",7250
"Sedan",6300
"Sedan",7000
"Sedan",9100
"Sedan",7600
"Suv",9100
"Sedan",6250
"Sedan",6100
"Sedan",5300
"Hatchback",11000
"Hatchback",8300
"Double Cab",28000
"Sedan",6800
"Suv",12200
"Sedan",8200
"Sedan",8300
"Crewmax Cab",22500
"Suv",18800
"Minivan",11100
"Sedan",5100
"Double Cab",16500
"Hatchback",8200
"Suv",7800
"Suv",5900
"Hatchback",5500
"Sedan",7900
"Suv",11500
